#,Seq.,Album,Song,Spotify total,Spotify daily,AOD total
172,29,4L,Jus Wokëup,"3,859,339","1,946","7,158,344"
180,34,4L,Ok Kool,"3,595,485","1,931","6,668,945"
187,257,Features,Orion's Belt,"3,156,138","1,905","5,854,039"
173,120,hollon,hollon,"3,857,191","1,895","7,154,360"
155,258,Features,Appear,"5,976,617","1,802","11,085,494"
192,25,4L,Bëd Side,"2,893,908","1,692","5,367,652"
201,97,Alivë,Bizzy,"2,064,186","1,449","3,828,674"
185,288,Features,Xtra Krazy (feat. Yeat),"3,305,973","1,442","6,131,955"
200,112,Alivë,Twizzy,"2,178,313","1,442","4,040,358"
202,102,Alivë,Feel it,"2,021,057","1,355","3,748,678"
227,229,Features,Guap,"584,191","1,352","1,083,563"
161,239,Features,zaza,"4,769,465","1,282","8,846,456"
205,101,Alivë,Every Sunday,"1,781,380","1,256","3,304,123"
203,104,Alivë,Liftëd,"1,968,599","1,236","3,651,379"
210,103,Alivë,Last Day,"1,476,695","1,103","2,738,990"
208,108,Alivë,Swërve,"1,643,273","1,100","3,047,960"
277,296,Features,Ley Go - Slowed + Reverb Version,"73,246","1,079","135,857"
209,94,Alivë,2 Up,"1,555,222","1,066","2,884,642"
211,262,Features,Tesla (feat. Yeat),"1,437,288","1,037","2,665,897"
207,89,Flashey,Flashey,"1,713,108","1,010","3,177,491"
206,261,Features,Duh (feat. Yeat),"1,726,933","1,002","3,203,134"
212,99,Alivë,Cöming Down,"1,333,230",978,"2,472,889"
216,228,Features,Shipped,"948,996",964,"1,760,208"
204,73,Different Creature,Can't Think,"1,900,983",861,"3,525,964"
215,260,Features,Been Off (feat. Yeat),"989,597",695,"1,835,515"
213,87,Wake Up Call,Stay Up,"1,204,625",529,"2,234,351"
214,287,Features,Back Den (feat. Yeat),"1,007,426",513,"1,868,584"
240,76,Different Creature,Heavenly,"437,599",468,"811,663"
251,284,Features,Sorry Bout That Feel,"316,911",457,"587,810"
219,82,Wake Up Call,Admit It,"824,929",442,"1,530,087"
220,75,Different Creature,Goat Emoji,"737,167",433,"1,367,305"
218,256,Features,Prada U,"860,610",425,"1,596,268"
221,67,Deep Blue Strips,Brink!,"731,443",423,"1,356,688"
245,77,Different Creature,How I Eat,"398,622",399,"739,368"
222,255,Features,Monster,"716,492",370,"1,328,957"
223,224,Features,My Turn (feat. Yeat),"711,039",360,"1,318,842"
260,295,Features,Ley Go,"159,992",347,"296,754"
257,297,Features,Ley Go - Speed Up Version,"180,162",313,"334,166"
235,240,Features,More,"457,620",299,"881,291"
229,70,Big Geek Week,Big Geek Week,"568,053",291,"1,053,630"
239,68,Deep Blue Strips,Going Out Sad,"437,931",286,"812,279"
228,83,Wake Up Call,Alright,"579,225",282,"1,074,352"
246,85,Wake Up Call,Impatient (feat. Oodaredevil),"393,195",282,"729,302"
244,74,Different Creature,Convertible (feat. DareDevil),"416,967",265,"773,394"
230,66,Loot,Loot (feat. Jban$2Turnt),"535,117",261,"992,540"
234,84,Wake Up Call,Celine,"468,755",261,"869,451"
231,65,Rockin It,Rockin It,"522,601",256,"969,326"
232,88,Wake Up Call,This Is It,"512,046",252,"949,748"
233,69,Deep Blue Strips,I Can Tell,"494,209",245,"916,664"
236,78,Different Creature,Mixed Emotions,"445,307",230,"825,960"
225,71,Number 1,Number 1,"668,779",224,"1,240,458"
217,254,Features,Steppin Out!,"942,424",221,"1,748,018"
242,86,Wake Up Call,Pilot,"432,389",199,"801,999"
243,79,Different Creature,Pit Stop (Interlude),"431,611",199,"800,556"
238,81,G550,G550,"439,711",197,"815,580"
249,252,Features,Hit Sum,"331,223",196,"614,356"
259,232,Features,Hell Shell 2,"164,497",184,"305,110"
247,72,Money Move,Money Move (feat. Nessly),"381,899",182,"708,350"
282,118,SWITCHE LANES,SWITCHE LANES,"50,263",172,"93,228"
241,80,Not The Same,Not The Same,"435,963",156,"808,628"
261,293,Features,BIG BOSS CEO (feat. Yeat),"152,600",152,"283,044"
250,251,Features,All Week,"328,725",139,"609,722"
255,280,Features,Do what I want,"222,498",119,"412,691"
256,245,Features,BOOTED UP,"215,004",115,"398,791"
253,253,Features,Give My Last (feat. Yeat),"273,956",100,"508,136"
248,250,Features,No Joke,"344,633",98,"639,229"
252,249,Features,STFU,"278,344",92,"516,275"
285,294,Features,Restart,"37,895",90,"70,288"
254,281,Features,Pöpped Out,"273,353",89,"507,018"
224,290,Features,MÖB,"692,549",66,"1,284,547"
237,277,Features,Real High,"444,686",65,"824,808"
267,278,Features,Percasseur,"102,887",63,"190,835"
266,273,Features,move,"146,975",52,"272,610"
273,276,Features,HOW U FEEL? (BANKROLL),"87,812",45,"162,874"
274,275,Features,GOON,"87,253",44,"161,837"
265,282,Features,Vegetarian,"147,269",36,"273,156"
262,274,Features,Misguided,"152,161",34,"282,229"
